question,answer
"How can I prepare for CLAT effectively?","- Understand the syllabus and exam pattern.\n- Create a realistic study plan.\n- Read newspapers daily for Current Affairs and Legal updates.\n- Take mock tests to simulate real exam conditions.\n- Practice comprehension by reading editorials and legal articles.\n- Revise frequently to retain key concepts."
"Is CLAT difficult to crack?","CLAT is competitive, but not inherently difficult. With strategic preparation, time management, and consistent practice, students can perform well. The main challenge lies in the level of competition for limited NLU seats."
"What are the best resources for CLAT preparation?","Books:\n- 'Word Power Made Easy' by Norman Lewis\n- 'Verbal & Non-Verbal Reasoning' by R.S. Aggarwal\n- 'Lucent’s General Knowledge'\n- Previous year CLAT papers\nWebsites:\n- Vidhigya, BYJU’s, GK Today, The Hindu\nYouTube:\n- Vidhigya's channel for strategies and legal reasoning guidance"
"What is the role of mock tests in CLAT preparation?","Mock tests:\n- Simulate real exam conditions\n- Help identify strengths/weaknesses\n- Improve time management\n- Boost confidence and reduce exam anxiety"
"Is it necessary to join a coaching institute to crack CLAT?","Not mandatory. Many succeed through self-study. Coaching institutes can help with structure, doubt resolution, and peer competition, but self-motivated learners can prepare effectively with the right resources independently."
"How is the CLAT score calculated?","Each correct answer: +1 mark\nEach incorrect answer: -0.25 marks\nFinal score = Total correct answers – 0.25 × wrong answers"
"When is the best time to start preparing for CLAT?","Ideally, start in Class 11 or early Class 12 for sufficient preparation time. Even late starters can succeed with focused and intensive study plans."
"What are the top NLUs participating in CLAT?","Top NLUs:\n- NLSIU Bangalore\n- NALSAR Hyderabad\n- NLU Delhi\n- WBNUJS Kolkata\n- NLU Jodhpur\nEach has different cutoffs based on rank and category."
"What is the cutoff for CLAT?","Varies yearly depending on exam difficulty, candidate pool, and seats. Top 100–200 ranks are generally required for elite NLUs like NLSIU, NALSAR, WBNUJS."
"What is CLAT?","CLAT stands for Common Law Admission Test. It is a national-level law entrance exam conducted by the Consortium of National Law Universities."
"What law programmes are offered after clearing CLAT?","CLAT is conducted for both undergraduate and postgraduate law programmes. CLAT UG paves the way for admissions in 5-year integrated law programmes, whereas CLAT PG is conducted for admissions to LLM programmes."
"Where can I get admission after clearing CLAT 2026?","There are 24 national law universities that give admission only on the basis of CLAT scores. Apart from NLUs, more than 60 law schools also accept CLAT scores for admission purposes."
"How many seats are available in national law universities participating in CLAT 2026?","Through CLAT scores, the national law universities will offer around 4000+ seats in UG law programmes and around 1500+ seats in LLM programmes."
"Are NRI candidates eligible for CLAT 2026?","Yes, NRI candidates are eligible for appearing in CLAT. They may select their category as NRI to take benefits of the NRI category."
"Is there any age limit for appearing in CLAT 2026?","No, there is no age limit for appearing in the CLAT examination."
"Will clearing CLAT 2026 guarantee me admission to any National Law University of India?","No, clearing CLAT does not guarantee admission. Admission is based on the merit list and seat availability in the participating NLUs."
"Is NLU Delhi participating in CLAT 2026?","No, NLU Delhi is not participating in CLAT 2026; it conducts the AILET exam for admissions to UG and PG law programmes."
"Can I appear for the Common Law Admission Test without the CLAT 2025 admit card?","No, the admit card of CLAT 2025 is a mandatory document for the Common Law Admission Test. Without the admit card, candidates will not be able to appear for CLAT 2025."
"Is calculator allowed in CLAT exam?","No, a calculator is not allowed in the examination hall."
"What is CLAT?","CLAT stands for Common Law Admission Test, a national-level entrance exam conducted by the Consortium of National Law Universities for admission to undergraduate and postgraduate law programs in India."
"Who conducts the CLAT exam?","The Consortium of National Law Universities (NLUs) conducts the CLAT exam."
"What are the eligibility criteria for CLAT UG?","Candidates must have completed 10+2 or equivalent with at least 45% marks (40% for SC/ST candidates). Those appearing in the qualifying exam can also apply."
"What are the eligibility criteria for CLAT PG?","Applicants must hold an LLB degree or equivalent with a minimum of 50% marks (45% for SC/ST candidates). Final-year LLB students can also apply."
"Is there an age limit for CLAT?","No, there is no upper age limit for appearing in the CLAT exam."
"What is the exam pattern for CLAT UG?","The CLAT UG exam consists of 120 multiple-choice questions to be answered in 2 hours. The sections include English Language, Current Affairs including General Knowledge, Legal Reasoning, Logical Reasoning, and Quantitative Techniques."
"What is the exam pattern for CLAT PG?","The CLAT PG exam comprises 120 multiple-choice questions based on subjects like Constitutional Law, Jurisprudence, Torts, Criminal Law, International Law, etc., to be completed in 2 hours."
"Is there negative marking in CLAT?","Yes, there is a negative marking of 0.25 marks for each incorrect answer."
"How can I apply for CLAT?","Candidates can apply online through the official CLAT website (consortiumofnlus.ac.in) by registering and filling out the application form."
"What is the application fee for CLAT?","The application fee is ₹4,000 for General/OBC/PWD/NRI candidates and ₹3,500 for SC/ST candidates."
"Can NRI candidates apply for CLAT?","Yes, NRI candidates who meet the eligibility criteria can apply for CLAT."
"Does NLU Delhi accept CLAT scores?","No, NLU Delhi conducts its own entrance exam called AILET for admissions."
"What is the duration of the CLAT exam?","The CLAT exam duration is 2 hours (120 minutes)."
"What should I do if I forget my CLAT login password?","You can reset your password by clicking on the 'Forgot Password' link on the official CLAT website and following the instructions."
"Will I be refunded the counselling fee if I do not take admission?","Yes, if you do not take admission to any National Law University, the counselling fee will be refunded."
"What are the top NLUs participating in CLAT?","Some of the top NLUs include NLSIU Bangalore, NALSAR Hyderabad, WBNUJS Kolkata, NLU Jodhpur, and GNLU Gandhinagar."
"What is the cutoff for CLAT?","The cutoff varies each year and depends on factors like the difficulty level of the exam, number of candidates, and available seats."
"How many times can I attempt CLAT?","There is no restriction on the number of attempts for CLAT."
"Is it necessary to join a coaching institute for CLAT preparation?","No, it's not mandatory. Many students prepare through self-study using the right resources and a disciplined approach."
"What are some recommended books for CLAT preparation?","Recommended books include 'Word Power Made Easy' by Norman Lewis for vocabulary, 'Verbal and Non-Verbal Reasoning' by RS Aggarwal, and 'Lucent’s General Knowledge' for static GK."
